CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
41022993,POSTO,Manhattan,310,2 AVENUE,10003,2128077800,Italian,3/15/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,22,,,10/30/2024,Cycle Inspection / Initial Inspection,40.7349154,-73.98304073,106,2,4800,1020461,1009240001,MN21,
50084342,PARQ,Bronx,4001,EAST TREMONT AVENUE,10465,7186846053,American,7/8/2019,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,29,,,10/30/2024,Cycle Inspection / Initial Inspection,40.82036763,-73.81800907,210,13,13000,2077284,2054450035,BX52,
41711778,CHICKEN FESTIVAL,Queens,196-17,NORTHERN BOULEVARD,11358,7182240712,Chicken,8/29/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,7,A,8/29/2023,10/30/2024,Cycle Inspection / Initial Inspection,40.75791142,-73.78510185,411,19,118100,4121242,4053730005,QN48,
50142443,KAMI ASIAN,Brooklyn,385,FLATBUSH AVENUE,11238,6462559692,Japanese,1/31/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,7,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.67619429,-73.97173549,308,39,15900,3029309,3011690009,BK37,
40383819,LAST STOP (AI & JI) RESTAURANT,Bronx,5977,BROADWAY,10471,3474496679,American,6/6/2023,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,30,,,10/30/2024,Cycle Inspection / Initial Inspection,40.88969981,-73.89816202,208,11,28500,2084211,2058011050,BX29,
50102738,G &L CAJUN GRILL,Queens,9040,160TH ST,11432,6468815538,Chinese,6/4/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,6/4/2024,10/30/2024,Cycle Inspection / Initial Inspection,40.70492565,-73.79990585,412,24,44601,4441658,4097560054,QN61,
50104306,CHICK 'N CONE,Manhattan,1000,S 8TH AVE,10019,6467494418,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.76681223,-73.98280875,104,3,13900,1799161,1270000161,MN15,
50107528,ISTANBUL BAY,Manhattan,578,9 AVENUE,10036,3477333196,Turkish,1/5/2022,Violations were cited in the following area(s).,10C,Lighting Inadequate,Not Critical,0,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.75828807,-73.99271938,104,3,11500,1024929,1010320061,MN15,
41699662,5 STAR VILLAGE CAFE,Brooklyn,1968,CONEY ISLAND AVENUE,11223,7189753373,Russian,7/26/2022,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,44,,,10/30/2024,Cycle Inspection / Initial Inspection,40.60906243,-73.96221277,315,44,42000,3176303,3066420018,BK25,
50098328,TAMARA CARIBBEAN KITCHEN,Brooklyn,8913,GLENWOOD ROAD,11236,9174605103,Caribbean,11/30/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,54,C,11/30/2022,10/30/2024,Cycle Inspection / Re-inspection,40.64134899,-73.90823173,318,46,96400,3224101,3079940001,BK50,
50118550,CONCEPT COFFEE,Queens,4461,11TH ST,11101,6463279517,Coffee/Tea,7/31/2023,Violations were cited in the following area(s).,20-06,Current letter grade or Grade Pending card not posted,Not Critical,,,,10/30/2024,Administrative Miscellaneous / Compliance Inspection,40.74819851,-73.94970027,402,26,700,4000441,4000520020,QN31,
40811162,CARMINE'S,Manhattan,2450,BROADWAY,10024,2123622200,Italian,7/8/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,37,,,10/30/2024,Cycle Inspection / Initial Inspection,40.79116758,-73.97430838,107,6,17900,1033560,1012380046,MN12,
41048429,CHIPOTLE MEXICAN GRILL,Brooklyn,185,MONTAGUE STREET,11201,7182439101,Tex-Mex,7/23/2021,Violations were cited in the following area(s).,10C,Lighting Inadequate,Not Critical,7,A,7/23/2021,10/30/2024,Cycle Inspection / Initial Inspection,40.69411263,-73.99183209,302,33,900,3002009,3002440013,BK09,
50118185,SULTAN'S DINE,Queens,11023,JAMAICA AVE,11418,7185987080,Bangladeshi,2/23/2022,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,0,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.69652046,-73.83768169,409,32,12800,4192619,4092240037,QN54,
50138029,MALI 504 BAR & KITCHEN,Brooklyn,3195,FULTON STREET,11208,9176341132,Spanish,11/28/2023,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,10,,,10/30/2024,Pre-permit (Operational) / Compliance Inspection,40.68226642,-73.87705614,305,37,117601,3092078,3041260067,BK83,
50160488,,Manhattan,1814,AMSTERDAM AVENUE,10031,2126710394,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.82825547,-73.94540818,109,7,23300,1062105,1020810036,MN04,
41561855,MARCELLINO,Manhattan,178,MULBERRY STREET,10012,6465590640,Italian,2/13/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,80,,,10/30/2024,Cycle Inspection / Re-inspection,40.72059716,-73.99678565,102,1,4100,1007177,1004800001,MN24,
50160765,,Manhattan,1109,5TH AVE,10128,2124233200,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.78529148,-73.95726267,108,4,16001,1047052,1015040001,MN40,
50103295,CIAO BELLA COFFEE,Brooklyn,284,CLARKSON AVENUE,11226,7186761426,Coffee/Tea,11/8/2021,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,29,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.65536805,-73.95073642,317,40,82000,3116268,3050660048,BK60,
50135301,RONGWANG RESTAURANT,Queens,136-51,ROOSEVELT AVENUE,11354,3472967110,Chinese,4/15/2024,Violations were cited in the following area(s).,06B,"Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.",Critical,45,,,10/30/2024,Cycle Inspection / Initial Inspection,40.75999628,-73.82842268,407,20,87100,4112511,4049800064,QN22,
50059374,DOG & BONE,Manhattan,338,3 AVENUE,10010,2128894663,American,7/20/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,63,,,10/30/2024,Cycle Inspection / Initial Inspection,40.74002054,-73.98228883,106,2,6800,1018080,1008800050,MN21,
50093687,J & K GOURMET,Queens,2302,COLLEGE POINT BLVD,11356,7183534111,Chinese,6/28/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,35,,,10/30/2024,Cycle Inspection / Initial Inspection,40.77833993,-73.84613999,407,19,91900,4311657,4042250025,QN23,
50160910,,Manhattan,769,6 AVENUE,10010,5512004144,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.74461084,-73.99156604,104,3,9100,1085978,1008010034,MN13,
50071604,LIVELY,Brooklyn,396,7 AVENUE,11215,9177423258,"Juice, Smoothies, Fruit Salads",3/3/2022,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,3/3/2022,10/30/2024,Cycle Inspection / Re-inspection,40.66487984,-73.98326767,306,39,15100,3023282,3010300040,BK37,
50118250,SIMPLY NOODLES,Manhattan,267,AMSTERDAM AVENUE,10023,2127211000,Chinese,5/1/2023,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,23,,,10/30/2024,Cycle Inspection / Initial Inspection,40.77891089,-73.98138659,107,6,15700,1029916,1011440001,MN14,
41202545,VANILLA CAFE,Queens,135-20,ROOSEVELT AVENUE,11354,7187622888,Bakery Products/Desserts,8/16/2021,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,28,,,10/30/2024,Cycle Inspection / Initial Inspection,40.75911685,-73.83138489,407,20,87100,4114113,4050360023,QN22,
50160080,,Manhattan,75,WALL STREET,10005,2125979169,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.70547875,-74.00787355,101,1,700,1085950,1000317501,MN25,
50095083,THE SCREEN DOOR,Brooklyn,145,DRIGGS AVENUE,11222,6467373407,Frozen Desserts,8/8/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,17,,,10/30/2024,Cycle Inspection / Initial Inspection,40.72305399,-73.94434383,301,33,59100,3067639,3027020024,BK76,
50016354,THE EMPANADA SPOT,Queens,8417,NORTHERN BLVD,11372,7185070400,Latin American,1/12/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,1/12/2024,10/30/2024,Cycle Inspection / Initial Inspection,40.75578334,-73.88326181,403,25,33700,4034621,4014140039,QN28,
41719811,MYRTLE THAI RESTAURANT,Brooklyn,438,MYRTLE AVENUE,11205,7184221142,Thai,5/1/2023,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,26,B,5/1/2023,10/30/2024,Cycle Inspection / Re-inspection,40.69318898,-73.96807169,302,35,19500,3054797,3019020022,BK69,
50145242,SANUKI UDON,Manhattan,31,WEST    4 STREET,10012,9179395822,Japanese,3/13/2024,Violations were cited in the following area(s).,28-04,Equipment used for ROP not approved by the Department,Not Critical,,,,10/30/2024,Administrative Miscellaneous / Initial Inspection,40.72910041,-73.99564149,102,2,5900,1008815,1005460030,MN23,
50058767,PARIS BAGUETTE,Queens,9633,QUEENS BLVD,11374,7188978688,Bakery Products/Desserts,11/10/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,37,,,10/30/2024,Cycle Inspection / Initial Inspection,40.72994777,-73.86184633,406,29,71701,4050423,4020880018,QN18,
41656924,TENZAN,Manhattan,988990,2 AVENUE,,2129805900,Japanese,8/12/2021,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,21,,,10/30/2024,Cycle Inspection / Initial Inspection,0,0,,,,,1,,
50116792,HOOK & REEL CAJUN SEAFOOD & BAR,Bronx,236,EAST  161 STREET,10451,7182930388,Seafood,2/23/2022,Violations were cited in the following area(s).,10J,Hand wash sign not posted,Not Critical,35,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.82595948,-73.9196869,204,16,6100,2002456,2024430090,BX14,
41238641,STARBUCKS,Manhattan,405,BROADWAY,10013,6466130148,Coffee/Tea,7/18/2022,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,23,,,10/30/2024,Cycle Inspection / Initial Inspection,40.71882681,-74.00237733,101,1,3300,1002309,1001947505,MN24,
50143475,GEMINI SOUP BOWL,Queens,10708,ROCKAWAY BLVD,11417,7186799962,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.67832248,-73.83190001,410,32,86400,4247860,4114820033,QN55,
50155587,SALAD HOUSE OF BROOKLYN,Brooklyn,2732,OCEAN AVENUE,11229,7188657014,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.59451059,-73.95049703,315,48,59200,3202114,3074040010,BK17,
50064506,THE GRAND,Queens,3701,30TH AVE,11103,7188061504,Mediterranean,5/26/2022,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,0,A,5/26/2022,10/30/2024,Cycle Inspection / Re-inspection,40.76458731,-73.91646168,401,22,6502,4430956,4006610047,QN70,
50108908,HUB THAI,Manhattan,50,AVENUE A,10009,2122288221,Thai,6/8/2022,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,0,A,6/8/2022,10/30/2024,Pre-permit (Operational) / Re-inspection,40.72397229,-73.9850314,103,2,3200,1075879,1003997501,MN22,
50158507,HARDEE CHINESE AMERICAN TAKEOUT,Brooklyn,209,UTICA AVENUE,11213,9177752810,Chinese/Cuban,10/8/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,40,N,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.67170567,-73.93083594,308,36,34700,3036537,3013730003,BK61,
41520477,SABOR A MEXICO TAQUERIA,Manhattan,160,1 AVENUE,10009,2125334002,Mexican,1/19/2022,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,7,A,1/19/2022,10/30/2024,Cycle Inspection / Initial Inspection,40.7285999,-73.98453606,103,2,3400,1005897,1004370007,MN22,
40798872,METROPOLITAN,Brooklyn,559,LORIMER STREET,11211,7185994444,American,7/29/2022,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,5,A,7/29/2022,10/30/2024,Cycle Inspection / Re-inspection,40.71366096,-73.94931522,301,34,51300,3068790,3027610035,BK73,
50153452,GRATA THAI,Manhattan,1099,1 AVENUE,10065,9179167521,Thai,7/23/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,54,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.7603843,-73.96141548,108,5,11000,1044205,1014350024,MN31,
50160253,HIMAWARI,Manhattan,98,MOTT STREET,10013,9295654155,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.71724582,-73.99747843,102,1,4100,1002615,1002040001,MN24,
50139884,RINCONSITO DEL SABOR,Bronx,3010,JEROME AVENUE,10468,3472702927,Latin American,11/6/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,99,,,10/30/2024,Pre-permit (Operational) / Re-inspection,40.87393122,-73.88911027,207,11,41100,2017626,2033210013,BX05,
50120873,787 COFFEE CO,Manhattan,72,THOMPSON STREET,10012,9082308846,Coffee/Tea,5/25/2022,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,33,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.72445631,-74.00296199,102,1,4700,1007325,1004880010,MN24,
50122265,MAX BAKERY & RESTAURANT,Queens,3763,90TH ST,11372,3478453942,Bakery Products/Desserts,7/10/2023,Violations were cited in the following area(s).,05H,No approved written standard operating procedure for avoiding contamination by refillable returnable containers.,Critical,57,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.74927131,-73.87662884,403,21,27500,4036372,4014780046,QN28,
50058908,CAFE ERZULIE,Brooklyn,894,BROADWAY,11206,9177471037,Bottled Beverages,10/26/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,24,N,,10/30/2024,Cycle Inspection / Initial Inspection,40.69799598,-73.93708,303,36,28700,3042864,3015820018,BK35,
50073733,COFFEE RX,Brooklyn,1504,86 STREET,11228,9295006836,Coffee/Tea,3/22/2022,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,9,A,3/22/2022,10/30/2024,Cycle Inspection / Initial Inspection,40.61128058,-74.00933187,311,43,17200,3166165,3063600038,BK27,
50160278,,Brooklyn,2766,PITKIN AVENUE,11208,7187052985,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.67567383,-73.86993377,305,42,120000,3095140,3042350017,BK82,
41457591,ROSSY'S BAKERY & COFFEE SHOP,Manhattan,242,EAST    3 STREET,10009,2122532424,Spanish,8/20/2021,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,18,,,10/30/2024,Cycle Inspection / Initial Inspection,40.72221245,-73.98191477,103,2,2202,1004594,1003850026,MN28,
50087446,LEO'S RESTAURANT AND SPORTS BAR,Queens,8419,ROOSEVELT AVE,11372,7186852665,Latin American,4/12/2022,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,31,,,10/30/2024,Cycle Inspection / Initial Inspection,40.74785772,-73.88181047,403,21,28100,4036234,4014720036,QN28,
50008021,BOMBAY GRILL HOUSE,Manhattan,764A,9TH AVE,10019,2129771010,Indian,1/27/2022,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21,,,10/30/2024,Cycle Inspection / Initial Inspection,40.76424383,-73.98837957,104,3,13300,,1,MN15,
50112608,CAFE ROUND K,Manhattan,78,CANAL STREET,10002,3474711601,Coffee/Tea,9/12/2023,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,65,C,9/12/2023,10/30/2024,Pre-permit (Operational) / Re-inspection,40.71524196,-73.99307401,103,1,1600,1003785,1002930012,MN27,
50129949,NEW JOY GARDEN,Brooklyn,482,RIVERDALE AVENUE,11207,7183852288,Chinese,9/3/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,26,B,9/3/2024,10/30/2024,Cycle Inspection / Re-inspection,40.66254116,-73.89814971,305,42,113000,3085400,3038350021,BK85,
41537124,BONCHON,Queens,4537,BELL BOULEVARD,11361,7182251010,Korean,9/19/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,19,,,10/30/2024,Cycle Inspection / Initial Inspection,40.75924654,-73.76875646,411,19,147100,4518252,4073320106,QN46,
41563691,ECUADORIAN RESTAURANT II,Queens,3406,36 AVENUE,11106,3475071286,Latin American,1/20/2022,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,22,,,10/30/2024,Cycle Inspection / Initial Inspection,40.75537497,-73.92720423,401,26,5500,4009497,4006340034,QN68,
50095998,HO HO GARDEN,Queens,9306,LIBERTY AVE,11417,7183226666,Chinese,8/30/2024,Establishment re-opened by DOHMH.,,,Not Applicable,0,Z,8/30/2024,10/30/2024,Cycle Inspection / Reopening Inspection,40.68018912,-73.84569311,410,32,5400,4190993,4091620003,QN56,
50142407,SERAFINA VINO E CUCINA,Manhattan,110,UNIVERSITY PLACE,10003,3475156050,Italian,3/11/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,51,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.73427688,-73.99249469,102,2,6100,1009386,1005707503,MN23,
50160986,,Queens,7,JFK INTL AIRPORT BLVD,11430,3122290099,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.64831283,-73.7882815,483,28,71600,4542156,4142600001,QN98,
50116311,BULBAP GRILL,Manhattan,746,10 AVENUE,10019,6464787567,Korean,2/14/2022,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12,A,2/14/2022,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.76514164,-73.99143708,104,3,13300,1026705,1010600062,MN15,
50106573,EL MIL SABORES,Manhattan,695,9 AVENUE,10036,2124896677,Tex-Mex,5/18/2024,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,10/30/2024,Inter-Agency Task Force / Initial Inspection,40.76202897,-73.99001882,104,3,12700,1079065,1010570035,MN15,
50150895,,Manhattan,775,COLUMBUS AVENUE,10025,8453140875,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.79404211,-73.96664351,107,7,18500,1088481,1018337505,MN12,
50148446,,Queens,145-18,34 AVENUE,11354,6467075808,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.76706845,-73.8223033,407,20,115900,4308859,4049950034,QN51,
50039041,POPEYES,Bronx,2174,WHITE PLAINS ROAD,10462,3478513001,Chicken,5/31/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,0,,,10/30/2024,Cycle Inspection / Initial Inspection,40.85568349,-73.86764278,211,13,22403,2049395,2043180016,BX49,
50081129,DUNKIN,Brooklyn,1149,UTICA AVENUE,11203,9178863304,Donuts,5/22/2024,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,7,A,5/22/2024,10/30/2024,Cycle Inspection / Initial Inspection,40.64483903,-73.92963511,317,45,84800,3327615,3047610037,BK96,
50149087,KIBO SUSHI - NY,Manhattan,750,8 AVENUE,10036,6472781943,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.75987138,-73.98784971,105,3,12500,1024736,1010187502,MN17,
50034742,BLUJEEN,Manhattan,2143,FREDERICK DOUGLASS BOULEVARD,,2122561073,American,6/22/2017,Violations were cited in the following area(s).,20F,Current letter grade sign not posted.,Not Critical,,,,10/30/2024,Administrative Miscellaneous / Initial Inspection,0,0,,,,,1,,
50141498,DMM BAKERY,Brooklyn,6802,BAY PARKWAY,11204,7183314372,Chinese,9/18/2023,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,29,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.61210043,-73.98325213,311,47,25800,3135132,3055800038,BK28,
50148383,TROPICAL REVIVAL,Queens,13408,JAMAICA AVE,11418,3475021802,Caribbean,3/18/2024,Violations were cited in the following area(s).,20-04,"“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,,,,10/30/2024,Administrative Miscellaneous / Initial Inspection,40.70235187,-73.81854167,409,29,14202,4196411,4093420004,QN54,
50154614,HAPPY GARDEN,Queens,19617,LINDEN BLVD,11412,7182889259,Chinese,10/15/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,25,Z,10/15/2024,10/30/2024,Pre-permit (Operational) / Re-inspection,40.69356113,-73.75544416,412,27,52800,4442771,4110680070,QN08,
50002265,SUSHI NAKAZAWA,Manhattan,23,COMMERCE STREET,10014,2129242212,Japanese,6/21/2022,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,12,A,6/21/2022,10/30/2024,Cycle Inspection / Initial Inspection,40.73165029,-74.00459682,102,3,6700,1009961,1005870046,MN23,
41591580,JPAN SUSHI RESTAURANT,Brooklyn,287,5 AVENUE,11215,7187882880,Japanese,5/8/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,8,A,5/8/2023,10/30/2024,Cycle Inspection / Initial Inspection,40.67370967,-73.98250118,306,39,13500,3020793,3009700006,BK37,
50105335,Warique,Queens,9004,37TH AVE,11372,6465931774,Peruvian,11/30/2021,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,7,A,11/30/2021,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.75053124,-73.87670951,403,21,27500,4036347,4014780001,QN28,
40687209,VIA QUADRONNO,Manhattan,25,EAST   73 STREET,10021,2126509880,Italian,11/1/2023,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,32,,,10/30/2024,Cycle Inspection / Initial Inspection,40.77268209,-73.96544837,108,4,13000,1041495,1013880015,MN40,
50128674,TASTE GOOD,Brooklyn,6909,8 AVENUE,11228,3475252048,Chinese,10/16/2023,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,33,C,10/16/2023,10/30/2024,Pre-permit (Operational) / Re-inspection,40.63022448,-74.01501594,310,38,13200,3145879,3058770005,BK30,
50160322,,Brooklyn,449,7 AVENUE,11215,3474819528,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.66294225,-73.98485772,307,39,14900,3026634,3011040004,BK37,
